"climbRate","Sgz","'p'","'q'","curPitch","curRoll","absRoll","diffClb"
"2","-56","-0.33","-0.09","0.9","0.2","-11","12"
"470","-39","0.02","0.12","0.39","-0.6","-12","8"
"165","4","0.14","0.14","0.78","0.4","-11","-9"
"-113","5","-0.12","0.11","1.06","0.6","-10","-7"
"-411","-21","-0.17","0.07","1.33","-0.6","-11","0"
"-105","-42","0.23","-0.06","0.92","-0.6","-12","10"
"144","-40","0.31","-0.01","0.67","0.6","-10","5"
"249","-11","-0.38","0.06","0.56","0.4","-11","-2"
"229","-4","-0.45","0.05","0.58","-0.4","-11","-2"
"-60","14","0.22","0.15","0.89","-1.6","-13","-8"
"-206","8","0.35","0.12","1.02","-0.9","-12","-4"
"-261","-28","-0.09","0.02","1.02","0.4","-11","3"
"-145","-46","-0.23","0.04","0.89","-0.7","-12","2"
"-27","-55","0.2","0.06","0.76","-0.9","-12",""
"-42","-57","0.3","0.07","0.77","-0.3","-11","-2"
"-61","-58","0.34","0.07","0.79","0.2","-11","-3"
"-73","-59","0.33","0.08","0.81","0.4","-11","-4"
"-22","-72","-0.32","0","0.71","0.6","-10",""
"71","-53","0.14","0.09","0.63","-1.6","-13","-3"
"-208","-57","0.1","0.11","0.91","-0.9","-12","-7"
"-335","-67","0.04","0.11","1.03","-0.8","-12","-6"
"-146","-84","0.09","-0.12","0.74","-0.6","-12","15"
"478","-52","-0.14","0.04","0.18","-0.4","-11","2"
"488","-47","-0.16","0.04","0.17","-0.5","-11","2"
"515","-34","-0.17","0.01","0.14","-0.8","-12","3"
"341","4","0.19","0.15","0.36","-0.7","-12",""
"-253","8","-0.03","-0.03","0.88","0.1","-11","-6"
"-168","-13","-0.19","0.02","0.77","-0.7","-12","4"
"139","5","0.24","0.09","0.5","-0.4","-11","-5"
"-26","7","0.03","0.02","0.6","0.6","-10","8"
"-31","7","-0.06","0.14","0.68","0.5","-10","-11"
"142","-1","0.2","0.06","0.44","0.3","-11","6"
"-323","-7","-0.22","0.09","0.9","0.7","-10",""
"-344","-12","-0.28","-0.03","0.9","0.5","-11","3"
"349","-16","0.19","0.09","0.24","0","-11","8"
