"diffRollRate","diffDiffClb","SeTime1","SeTime2","SeTime3","SeTime4","SeTime5","SeTime6"
"0.004","-0.1","0.032","0.032","0.032","0.032","0.032","0.032"
"0.009","-1.6","0.034","0.034","0.034","0.034","0.034","0.034"
"-0.003","-0.2","0.034","0.034","0.034","0.034","0.034","0.034"
"-0.008","0","0.033","0.033","0.033","0.033","0.033","0.033"
"0.002","0.1","0.03","0.03","0.03","0.03","0.03","0.03"
"0.011","0","0.028","0.028","0.028","0.028","0.028","0.028"
"-0.005","-0.2","0.029","0.029","0.029","0.029","0.029","0.029"
"-0.008","-0.1","0.029","0.029","0.029","0.029","0.029","0.029"
"0.002","0.3","0.029","0.029","0.029","0.029","0.029","0.029"
"0.01","-0.2","0.029","0.03","0.03","0.03","0.03","0.03"
"0.001","-0.5","0.029","0.029","0.029","0.029","0.029","0.029"
"-0.008","-0.1","0.027","0.027","0.027","0.027","0.027","0.027"
"-0.001","-0.1","0.026","0.026","0.026","0.026","0.026","0.026"
"0.004","-0.2","0.026","0.026","0.026","0.026","0.026","0.026"
"0.004","-0.2","0.026","0.026","0.026","0.026","0.026","0.026"
"0.002","-0.2","0.026","0.026","0.026","0.026","0.026","0.026"
"-0.003","-0.3","0.026","0.026","0.026","0.026","0.026","0.026"
"-0.009","-0.1","0.024","0.024","0.024","0.024","0.024","0.024"
"0.005","-0.1","0.026","0.025","0.025","0.025","0.025","0.025"
"-0.005","0.1","0.025","0.025","0.025","0.025","0.025","0.025"
"-0.002","0","0.022","0.024","0.024","0.025","0.025","0.025"
"0.003","-0.3","0.02","0.02","0.02","0.02","0.02","0.02"
"-0.006","-0.2","0.023","0.023","0.023","0.023","0.023","0.023"
"-0.005","0","0.022","0.023","0.023","0.023","0.023","0.023"
"0.009","0.3","0.022","0.022","0.022","0.022","0.022","0.022"
"0.006","0","0.025","0.025","0.025","0.025","0.025","0.025"
"-0.008","3","0.023","0.023","0.023","0.023","0.023","0.023"
"-0.002","-0.1","0.022","0.022","0.022","0.022","0.022","0.022"
"0.002","-0.1","0.022","0.022","0.022","0.022","0.022","0.022"
"-0.007","-0.9","0.023","0.023","0.023","0.023","0.023","0.023"
"-0.008","-1","0.023","0.023","0.023","0.023","0.023","0.023"
"0.006","-0.6","0.021","0.021","0.021","0.021","0.021","0.021"
"-0.007","-0.4","0.02","0.02","0.02","0.02","0.02","0.02"
"-0.006","1.6","0.018","0.018","0.018","0.019","0.019","0.02"
"0.009","-3.1","0.02","0.02","0.02","0.02","0.02","0.02"
"0.004","-1","0.022","0.022","0.022","0.022","0.022","0.022"
